nome,endereco,cidade,telefone,lat,lng
RUBI LANCHES      01,LUZIM V MORENO 1 LT 15 CS 02,PORTO NACIONAL,063-99208-5219,-10.190556,-48.449722
PANIFICAD GABRIELA,PORTO NACIONAL,PORTO NACIONAL,063-99201-1628,-10.174723,-48.47361
CAMPOS BELOS MINI BO,19 QDA 17 LT 10,PORTO NACIONAL,063-98123-6322,-10.18372,-48.472574
NEON PONIT,05 A CH24 NO LT 24,PALMAS,063-99293-5393,-10.174621,-48.452301
REDE 3 SUPERMERCADO,AV 02 QUADRA Q1A LT 5,PORTO NACIONAL,063-99276-8616,-10.192778,-48.449165
FOGUETE MOTO PECAS,06 RUA DA NACOES LOTE 04 SALA 02,PORTO NACIONAL,063-99249-2791,-10.175521,-48.45177
MINI BOX DO GORDINHO,NS QDRA 17 LOTE 17,PORTO NACIONAL,063-99105-8424,-10.186007,-48.459637
MICRO MOTEL ROTA 69,02 QUADRA 2 N 15 LOTE 15,PORTO NACIONAL,063-99207-2187,-10.192032,-48.463914
MINI BOX MORIA,T080 C T 348 KM16 LOT GLEB SL04,PORTO NACIONAL,063-98437-9821,-10.189445,-48.494167
CS DE CARNE D CARLAO,RUA 02 QUADRA 04 LOTE 22,PORTO NACIONAL,063-99938-2698,-10.190833,-48.47333
MINI MERCADO JM,SQ 1 B LOTE 01 TERREO SN,PORTO NACIONAL,063-99231-0745,-10.192072,-48.44849
RECANTO DOS AMIGOS02,12 LOTE 06 AV PRINCIPAL CASA 01,PORTO NACIONAL,063-09235-3251,-10.173945,-48.461864
MINI MERC KAUE,CENTRAL LOTE 30 AG 1222,PORTO NACIONAL,063-99278-0001,-10.174047,-48.459522
CONVEN RAIZ,LAG AZUL QD 01 RUA 04 C A RUA 03,PORTO NACIONAL,063-99978-1716,-10.192223,-48.46361
BAR ANDORINHAS,VILAGE MOEMA LOTE 22 QDR 1,PORTO NACIONAL,063-99930-0254,-10.187818,-48.449124
MINI BOX GORDINHO,NS QDR 17 LOTE 17,PORTO NACIONAL,063-99105-8424,-10.186082,-48.45819
CHURRAS ROTA 80,TO 080 QDA 02 LT 16 ORLA OESLUZIMANGUES,PORTO NACIONAL,061-99909-2200,-10.192921,-48.448624
DIST CENTRAL DE BEBI,A ESQUINA COM A 1 QD 5 LT 35 A,PORTO NACIONAL,063-99218-6192,-10.193967,-48.462433
COMERCIAL JATOBA,15 LT 15 SALA 02 LOT GENEBRA,PORTO NACIONAL,063-99265-4832,-10.187271,-48.493667
CONVENIENCIA TATU,01 LT 01 AO 3 JARDIM DO PORTO SL 02,PORTO NACIONAL,063-98462-3744,-10.193451,-48.465732
MINI BOX JARDIM EU01,A JARDIM EUROPA N O QD,PORTO NACIONAL,063-99211-6469,-10.183166,-48.460767
BAR DO LIMA       01,R2 LOTE 5 LOT PORTO SEGURO SN,PORTO NACIONAL,063-99283-0702,-10.178251,-48.451874
MIX SUPERMERCADO  01,DAS NACOES QI 03 CHA 23,PORTO NACIONAL,063-99223-0136,-10.175966,-48.451775
BAR DA SARA       01,GENEBRA SN RUA 3 QD13,PORTO NACIONAL,063-99134-1655,-10.18852,-48.495207
EMPORIO FRANGO E ESP,01 PORTAL LAGO N 0,PORTO NACIONAL,063-99244-2301,-10.205025,-48.461482
BAR DO ALOISIO,02 RIVIEIRA DO LAGO II,PORTO NACIONAL,063-99218-3044,-10.192834,-48.446401
BAR DO MARCONI,CHACARA SANTA CLARA CASA 02,PALMAS,063-99209-6894,-10.066112,-48.31139
MERCAD SAO FRANCISCO,JAU CHACARA SAO FRANCISCO 4 ETAPA,PALMAS,063-99234-4968,-10.114166,-48.321945
EXPLOBAR DIST,AGUA FRIA SN,PALMAS,063-99255-6566,-10.136389,-48.34861
CANECAO SHOW,602 NORTE AV TEOTONIO SEGURADO CONJ 01,PALMAS,063-99273-5665,-10.156527,-48.319202
ASTEC,102 NORTE AVENIDA JOAQUIM TEOTONIO CONJ,PALMAS,063-99228-1974,-10.134248,-48.301735
NATUS BAR         01,TO 010 CHACARA RECREIO CASA 03 KM 14,PALMAS,063-98143-7500,-10.05868,-48.31139
SUPER AMIGAO,AL NILO ALVES CONJ Q1 09 CASA,PALMAS,063-99294-2043,-10.120277,-48.32528
AS SANTA CRUZ,ESPERANCA GLEBA CORREGO JAU LOTE 4,PALMAS,063-99114-8232,-10.066808,-48.336147
SINTRAS,405 NORTE AL 08 LOTE 01,PALMAS,063-98129-9891,-10.08267,-48.316759
BALNEARIO DOMINGO FR,JAU 1 ETAPA CHC 3/3,PALMAS,063-99287-6258,-10.1275,-48.360832
BAR DA BETE,CHACARA NOVA VIDA KM 15 TO 10,PALMAS,063-98104-0970,-10.055555,-48.315556
BALNEARIO PALMEIRAS,LOTEAMENTO JAU 1 ETAPA SN CHC 314 LOTE 0,PALMAS,063-98404-2614,-10.127778,-48.36028
MERCEARIA DO GUIDO,GLEBA AGUA BOA 46 CHACARA 357 ZONA RURAL,PALMAS,063-98406-1917,-10.133333,-48.343056
BAR DO BEBEU,N 0 QDA 06 LOTE 04 ACONCHEGO AL MARCUS,PALMAS,063-99112-0735,-10.113569,-48.32416
COMERCIAL CERRADO,104 NORTE AV LO 04 LT 12 A,PALMAS,063-98410-0301,-10.120771,-48.326233
MINI MERCAD ALCANTAR,CIRCULAR SAO FRANCISCO N 0 QI 11 LT 11,PALMAS,063-98456-8479,-10.112249,-48.322133
CHICAO DIST,AGUA FRIA SN 2 ETAPA QD 06 LT 08,PALMAS,063-98456-8479,-10.135898,-48.342134
DISTRIBUIDORA RL,SETOR AGUA FRIA N 0 LT 12 FUMACA RUA,PALMAS,063-98143-3047,-10.146926,-48.351668
MV SUPERMERCADO,CHC SANTA RITA SN N 3 SONHO MEU Q 08 LT3,PALMAS,063-98400-5013,-10.120929,-48.326595
RESTAURANTE DA BETH,CHACARA NOVA VIDA CS 01 KM 10 BR 010,PALMAS,063-99211-6629,-10.056041,-48.315605
MINI BOX CABICEIRA,CHACARA 114 SN ZONA RURAL,PALMAS,063-99135-0186,-10.135842,-48.342048
PEGEPAY,AV ILHAS VIRGENS QD 01 SN COSTA DOURADA,PALMAS,063-99209-9815,-10.133362,-48.35388
SHALOM,ESMERALDA DIAMANTE LT1 8L 4,PALMAS,063-99216-4647,-10.13579,-48.342033
AGUA BOA DISTRIBUIDO,GLEBA AGUA BOA CHACARA 356 LOTE 06,PALMAS,063-98466-8504,-10.134692,-48.34153
BRASA GRILL,PALMAS,PALMAS,063-09114-5000,-10.120974,-48.326684
FAVEIRAS SHOW,RUA 03 L SERTAO QD 01 CH 357 LT 01,PALMAS,063-98419-7878,-10.135425,-48.342563
EMPORIO RIO DA PRATA,TO 010 LT 01 LT CHAC,PALMAS,063-99300-4180,-10.082158,-48.316277
ZULU TEM,MARIANA SN 26 CS02,PALMAS,063-99225-4725,-10.118959,-48.322702
VERANO GASTROBAR,CARIBE RESIDENCE RESORT,PALMAS,063-99213-5357,-10.133283,-48.354224
MERCADO SUMBO,AGUA FRIA CONJ CH MENDES,PALMAS,063-99226-1477,-10.148242,-48.33127
BAR DO LUIS,407 NORTE ALAMEDA 12 LOTE 01,PALMAS,063-99956-5176,-10.163333,-48.3475
BARRACA DA FRAN,409NO AL30 BLOCO3,PALMAS,063-98400-1992,-10.162222,-48.360554
MERCEARIA GUIMARAES,307 NORTE AVENIDA LO 10,PALMAS,063-99986-3670,-10.163055,-48.35361
PAGUE LEVE,407N AV LO10 ACSV NO43,PALMAS,063-99220-8681,-10.163611,-48.348057
POINT POR DO SOL  01,307 NORTE AVENIDA LO 10 BLOCO 02 SALA 05,PALMAS,063-99136-7918,-10.16208,-48.36038
SUP. 307 NORTE,307 NORTE ALAMEDA 19 LOTE 16,PALMAS,063-98432-2258,-10.1675,-48.349167
NIQUELANDIAS BAR,PRAIA DAS ARNOS,PALMAS,063-99202-2222,-10.162778,-48.360554
CABANA BEM TI VI,407 NORTE ALAMEDA 1 BLOCO 02 SALA 04,PALMAS,063-98438-6946,-10.161944,-48.36028
SUPERMERCADO SOARE01,307 NORTE ALAMEDA 19 LOTE 16 A,PALMAS,063-99993-7468,-10.167222,-48.34861
BAR DA BETE       01,PRAIA DAS ARNOS,PALMAS,063-98488-8654,-10.161111,-48.36
DEDIM BARBEARIA,ARNO 32 RUA 11,PALMAS,063-98456-3169,-10.166748,-48.344155
BARRACA SOUSA,307 NORTE AVENIDA LO 10 BLOCO 02 BOX 01,PALMAS,063-98446-4316,-10.1625,-48.36
MERCEARIA MILENA,305 NORTE AL 21 LOTE 26,PALMAS,063-99246-9630,-10.166944,-48.344166
COMERCIAL NORTE,407 NORTE ALAMEDA 06 LOTE 19,PALMAS,063-99283-3154,-10.160277,-48.349445
MELO DIS E CONVENIEN,ARNO 33 ALAM 21 QI 05 LOTE 87 SALA 05,PALMAS,063-98517-9882,-10.163185,-48.35452
BAR BOCA DA ONCA  01,307 NORTE ALAMEDA 28QI 21 LOTE 41,PALMAS,063-99298-6275,-10.167778,-48.349724
MERCADO COSTA     02,ARNO 43 ALAMEDA 8 LT 29,PALMAS,063-98471-1900,-10.160875,-48.34829
OSMAR BAR         01,PRAIA DAS ARNOS BLOCO D,PALMAS,063-98470-9580,-10.161434,-48.359993
MERCEARIA UCHOA,407 NORTE ALAMEDA 6 ARNO 43,PALMAS,063-98464-0610,-10.160151,-48.34907
MERCEARIA GREG,307 NORTE ALAMEDA 20 QDA 8 LT 29 SL 1,PALMAS,063-98433-7678,-10.166388,-48.351665
MINI BOX TOCANTINS01,407 NORTE ALAMEDA 7 QUADRA 22 LOTE 43,PALMAS,063-99290-9832,-10.160363,-48.348927
MINIBOX JL,307 NORTE AVENIDA LO 10 LOTE 35,PALMAS,063-99953-7176,-10.164166,-48.34833
MERCADINHO SOLAR,407 NORTE ALAMEDA 4 LOTE 67 CASA 02,PALMAS,063-99275-2323,-10.159722,-48.350555
BARRACA SAO FRANCISC,PRAIA DAS ARNOS BLOCO 2,PALMAS,063-99261-7645,-10.161944,-48.36028
RESTAURANTE RAY,307 NORTE AV NS 15 QUADRA APM QUIOSQ 01,PALMAS,063-99260-1221,-10.1625,-48.36028
ESTOU NA VILLA,ARNO 32 RUA 22 SN Q 22 LT 1,PALMAS,063-99220-1598,-10.16757,-48.345848
ACAI EL SHADAY,ARNO 43 ALAMEDA 08 SN LT 21 SALA 01,PALMAS,063-98446-4663,-10.160286,-48.349405
HOOKAH 207,ARNO43 ALM 2 QI11 LT95,PALMAS,063-98427-1003,-10.15839,-48.350918
SUPERMERCADO MARQU01,407 NORTE AL 3 407 NORTE LT 04 QC 02 LS,PALMAS,063-99217-7110,-10.158899,-48.35029
DRINKS DISTRIBUIDO02,ARNO 33 AL 17,PALMAS,063-99114-2127,-10.168488,-48.347248
MERCEARIA DO FABIO,307 NORTE ALAMEDA 19 LT 36,PALMAS,063-98145-3738,-10.166007,-48.351448
MINI BOX SINAI    01,43 AL 08 N 27 QI 23 CS 1,PALMAS,063-98469-6142,-10.160891,-48.348468
ORLA SUPERMERCADO 01,QDA ARNO 43 AV LO 10 SN NO 43 LT 04,PALMAS,063-99295-2634,-10.162368,-48.354164
RESTAURANTE DA LE,307 NORTE ALAMEDA 19,PALMAS,063-08159-6340,-10.166443,-48.350595
MINI BOX GOMES 33,Q ACSU NO 44 LT 24 QD 1,PALMAS,063-99115-5040,-10.1651,-48.353369
BOTECO DO MAIA,ARNO 33 AL 19 Q 17 LT32,PALMAS,063-99227-9393,-10.166486,-48.350502
ADEGA 32,ARNO 32 RUA 32 LT 1,PALMAS,063-98454-5450,-10.167616,-48.347445
CHARLES DIST E PETIS,ACSU NO 0 LT 22,PALMAS,094-99276-4878,-10.157306,-48.330035
JALAPAO DISTRIBUID02,ARNO 31 8 SL 3 AV LT 8,PALMAS,063-98125-3763,-10.163987,-48.345636
COMERCIAL ALMEIDA 06,ARNO 33 AL 19 O N 53 QI 10,PALMAS,063-98402-4812,-10.165843,-48.351333
DIST BRILHO DO SOL,ACSU NE 61A LT 7,PALMAS,063-98112-6764,-10.165047,-48.321677
PMW BRASIL SUPER,ACSU NE AL 17A,PALMAS,063-98497-4836,-10.166385,-48.320849
MINI BOX ADRIANO,LAGO NORTE AL 21 LT 10,PALMAS,063-98501-4845,-10.151319,-48.314291
BAR DO WILSON     01,ARNO 44 AL 26 SN N 4 QI 15 LT 11,PALMAS,063-99991-6458,-10.157106,-48.344975
BAR JUAREZ,405 NORTE ALAMEDA 8 LOTE 01,PALMAS,063-99279-1687,-10.160216,-48.344387
BAR DO DUDA,603 NORTE AVENIDA LO 14,PALMAS,063-98108-2132,-10.151944,-48.329166
BAR SAL E LIMAO,603 NORTE AV LO 14 LT 12 N 15,PALMAS,063-98474-5251,-10.15202,-48.329393
MERC PINGO DOCE,ARNO 72 ALAMEDA 11 LOTE 13,PALMAS,063-99127-1742,-10.150455,-48.331886
COM. NETO,607 NORTE ALAMEDA 16 LOTE 02,PALMAS,063-99247-9157,-10.153357,-48.337291
CACIENE BAR,603 NORTE ALAMEDA 3 LOTE 13,PALMAS,063-98454-3450,-10.151944,-48.327778
PONTO CERTO BEER,605 NORTE ALAMEDA 11 SN QI 01 LOTE 20,PALMAS,063-99263-6044,-10.152065,-48.332645
MINI BOX 409 NORTE,409 NORTE ALAMEDA 29 LOTE 19,PALMAS,063-98102-5040,-10.154166,-48.343334
BIGODE DISTRIBUIDOR,409 NORTE AL 27 N 44 QI 02 LT 11 CS 11,PALMAS,063-99200-7847,-10.15416,-48.344226
BAR NATUREZA      02,409 NORTE ALAMEDA 32 LOTE 01,PALMAS,063-99223-9914,-10.157778,-48.344444
MINI MERCAD BOQUINHA,ARNO 71 AL 23 APM 07 QI 12 CS 02,PALMAS,063-99257-8092,-10.155226,-48.324116
POTY SUPERMERCADO,405 NORTE ALAMEDA 10 LOTE 01 A QC 01,PALMAS,063-99287-5098,-10.162222,-48.343613
MINI BOX 603,QDA 603 NORTE ALAMEDA 23 LOTE 15,PALMAS,063-98434-1450,-10.152223,-48.329166
MINI BOX SOBRADINHO,AVENIDA LO 18,PALMAS,063-98445-6362,-10.146389,-48.328888
SUPER TUBARAO,NS 10 SN LAGO NORTE SANTO AMARO,PALMAS,063-99119-1358,-10.156667,-48.314445
NILVINHA DOS SANTOS,ARNO 07 LOTE 03 SL 06,PALMAS,063-98445-2007,-10.15459,-48.32744
ATACADO CAMPEAO II,NS 10 LOTE 01,PALMAS,063-98159-8117,-10.153413,-48.309692
MERCADO PRAJA,603 NORTE AVENIDA LO 14,PALMAS,063-98126-6314,-10.152695,-48.32932
LAVA JATO RR DIST,ARNE 81 ALAMEDA 02 SN LT 06 QC 1,PALMAS,063-99978-1561,-10.155897,-48.316433
MINI BOX TELES,S AMARO AL 18 QI 18 LT 25,PALMAS,063-99940-8011,-10.158402,-48.313515
SUPER TAMANHO FAMILI,ARNO 44 ALAMEDA 26 QI C LOTE 10,PALMAS,063-99287-8391,-10.156938,-48.345478
EMPORIO CONV,ARNO 61 QI 07 LT 05,PALMAS,063-99279-7745,-10.156371,-48.32842
GOLD BEER DISTRIBUID,ARNO 72 605 NORTE AVENIDA LO 14 LT 18,PALMAS,063-99102-3497,-10.151225,-48.329205
MINI BOX LAGO NORTE,407 NORTE AL 1 ANOR 43,PALMAS,063-98112-9759,-10.149853,-48.312438
QUITANDA O GIRAL,ARNE 81 AL 4 QC 01 LT 10,PALMAS,063-99273-2536,-10.155597,-48.31643
ESPETO PORTO DA RESE,AV LO 18 HM 04,PALMAS,063-99981-1146,-10.15688,-48.311067
FAVEIRAS BAR,ARNO 71 AV LO 14 SN N 13 LT 11,PALMAS,063-99229-6566,-10.151917,-48.32894
ATACADO CAMPEAO   01,QDA ARNO 71 AL 11 NO 1 QI 18 LT 13,PALMAS,063-98159-8117,-10.15387,-48.327031
MERCEARIA DO FERNAND,409 NORTE ALAMEDA 27,PALMAS,063-98463-5529,-10.154775,-48.343851
EM CASA BAR E PESTIC,607 NORTE ALAMEDA 23,PALMAS,063-99106-4005,-10.152898,-48.33568
DIST ALTAS HORAS,503 NORTE AVENIDA,PALMAS,063-09247-8933,-10.157393,-48.32991
BAR JUBILEL,NS 10 N 0 LT 62 CS 02,PALMAS,063-98511-2232,-10.153452,-48.309661
SUPERMERCADO POTY 01,ARNO 42 AL 10N,PALMAS,063-99287-1182,-10.162341,-48.343501
ADEGA ALEX MS DIST,605 NORTE ALAMEDA 8,PALMAS,011-94941-6658,-10.150633,-48.334045
ADEGA DO TIO IVO,ARNO 32 R 08 SN QI 6 LT 18,PALMAS,063-99228-8773,-10.170513,-48.342015
CONV PIT STOP 72,ARNO 72 QI 01 LT 1 CS 01,PALMAS,063-99235-7016,-10.151896,-48.332667
DIST PR BEBIDAS,L NORTE AL 25 LT 20 CS 1,PALMAS,063-99255-5902,-10.150719,-48.314974
DIST DO BEBE,305 NORTE 5A N5 QI B LT 12,PALMAS,063-99129-4027,-10.168056,-48.341667
POLLY BAR,303 NORTE ALAMEDA 16 LOTE 01,PALMAS,063-99233-7101,-10.1675,-48.34028
MERC E DIST VIANA,403 NORTE AVENIDA LO 12 SL 02 LT 64,PALMAS,063-98418-4218,-10.161797,-48.335728
BAHAMAS BAR       01,303 N AL 07 QI 09 LT 26,PALMAS,063-98421-3141,-10.168056,-48.336388
MENDANHA CONV E DIST,303 NORTE ALAMEDA 07 LOTE 51,PALMAS,063-98502-6463,-10.1675,-48.33861
BOTECO DO TIM,404 NORTE RUA 17 A,PALMAS,063-98460-7540,-10.166203,-48.32141
ADRIANA ESPETINHOS,305 NORTE ALAMEDA 04 LOTE 02,PALMAS,063-98466-5333,-10.166944,-48.342224
ARENA GYN,402 NRT R 3 B LT 30 ACSV NE 50,PALMAS,063-99219-3482,-10.164029,-48.325306
BAR DA DORINHA,404 NORTE ALAMEDA 17,PALMAS,063-99231-3538,-10.165556,-48.321667
COMERCIAL ZUZA,403 NORTE ALAMEDA 07 QI 12 LT31,PALMAS,063-99258-9591,-10.164166,-48.33472
BECKS MINIBOX DIST,307 NORTE ALAMEDA 23 QI 31 LOTE 10,PALMAS,063-99205-4279,-10.169087,-48.341436
CONV SHALOM,404 N AV NS2 LT PAC1,PALMAS,063-99104-1237,-10.167694,-48.325344
PURO MALTE DISTRIBUI,QDA 405 NORTE LT 38 SL 02,PALMAS,063-98453-1141,-10.164722,-48.34139
IDEAL DISTRIBUIDORA,403 NORTE AVENIDA LO 10 QDA NO 41 LT 6,PALMAS,063-99246-4893,-10.165,-48.33889
DIST MENDANHA,303 NORTE ALAMEDA 7 LOTE 16 QI 8 CS 01,PALMAS,063-98502-6463,-10.167484,-48.338715
SUPER SUPER NOSSO1,404 NORTE ALAMEDA 17 LOTE 15,PALMAS,063-98458-3004,-10.166388,-48.320835
SUPERMERCADO MOREIRA,305 NORTE ALAMEDA CIRCULAR LT 25 RUA 12,PALMAS,063-99226-6195,-10.167222,-48.3425
BAR TORRESMO,504 NORTE AVENIDA LO 14 LOTE 18,PALMAS,063-98457-4745,-10.165961,-48.320564
KENO DISTRIBUIDORA,ARNO 31 ALAMEDA 07 N 07 QI 09 LT 20,PALMAS,063-99966-4014,-10.167797,-48.33687
QUITANDA DO MOZAO 01,404 NORTE ALAMEDA 17 LT 34 SL 01,PALMAS,063-98431-3182,-10.167448,-48.319051
D GUSTA GRILL,ARNO 32 AV LO 10 LOTE 07,PALMAS,063-99218-8920,-10.164499,-48.343933
SUPERMERCADO SILVA,403 NORTE AV LO 10 LOTE 03,PALMAS,063-98156-6825,-10.16543,-48.339966
DIST PAGUE MENOS  01,305 NORTE RUA 9 LOTE 28,PALMAS,063-99914-0602,-10.165807,-48.34196
BAR DO GERIN,305 NORTE RUA 2 ARNO 32 QI 01 LT 02,PALMAS,063-98516-2411,-10.165948,-48.341804
KITANDODO LEAO,404 NORTE RUA 17 ARNE 51,PALMAS,063-98437-9407,-10.1668,-48.320712
BAR DO SALOMAO    02,405 NORTE ALAMEDA 15,PALMAS,063-98515-0852,-10.161512,-48.340856
ADEGA 46,AV LO 10 ARNO 32 NO LT 14 CS 07,PALMAS,063-99102-2221,-10.164711,-48.343505
TO NA BRASA DIST E,QDA ARSO 34 QI 23 SN LT 17 CS 03,PALMAS,063-99201-7614,-10.162338,-48.319096
BECKS MINI BOX E DIS,ARNO 31 AL 15 QD 303 NORTE LT 17 SALA 3,PALMAS,063-99205-4279,-10.169107,-48.341291
ARENA BOLA 8,QD ACSU NE 51 ALAMEDA 17 LOTE 10,PALMAS,063-99285-2813,-10.166312,-48.321312
QUITAMDA DO MOZAO,404 NORTE ALAMEDA 17,PALMAS,063-98431-3182,-10.167548,-48.319007
TOQUIO SUSHI,305 NORTE ALAMEDA 2,PALMAS,063-99264-0858,-10.168053,-48.341836
SUPER TAMANHO FAMI01,61 A CS 04 NORTE AL 17,PALMAS,063-99287-8391,-10.166831,-48.31937
OWL DIST DE BEBIDAS,502 NORTE ACSU NE 60,PALMAS,063-98142-8149,-10.163497,-48.322422
DIST PARAZINHO,ARNO 32 AL CIRCULAR,PALMAS,063-99965-1057,-10.165621,-48.341853
CASA DE CARNE GM,ARNO 31 LT 13 LO 10,PALMAS,063-99201-8171,-10.165695,-48.337468
ATACAD MINI BOX 31,303 NORTE ALAMEDA 19 LT 1,PALMAS,063-99201-4228,-10.167481,-48.338529
DISCRETO BAR      01,ARNE 51 AL 17 A 22,PALMAS,063-99208-3050,-10.0,-48.0
BAR DO CAFU       01,104 NORTE AV LO 4 LT 12 A,PALMAS,063-99113-6648,-10.015609,-48.54589
COMERCIAL BM,ROSA DOS VENTOS PORTEIRA 82,PORTO NACIONAL,063-99964-3862,-10.043227,-48.476399
SUPER VITORIA     02,TO 348 RUA 02 POVOADO ASST IRMA ADELAIDE,PORTO NACIONAL,063-99290-8463,-10.015263,-48.546397
CLUBE TUCUNARE,CHACARA ROSA DOS VENTOS 15,PORTO NACIONAL,063-09213-1032,-10.043179,-48.476485
BAR DO ORLE,ASS IRMA ADELAIDE SN RUA 02,MIRACEMA DO TOCANTINS,063-99210-7707,-10.016423,-48.545119
BAR DO JAPAO      01,LAGUNA 3 LOTE 1 AV 21,PORTO NACIONAL,063-99288-9388,-10.212222,-48.468056
BAR CHAPEUZINHO,46 LT 02 SN LAGUNA III,PORTO NACIONAL,063-98100-5378,-10.205094,-48.469462
ESPETINHO FIM DE TAR,308 SUL ALAMEDA 1 QI L LT 38,PALMAS,063-98485-6302,-10.197778,-48.314445
MINI BOX FIGUEIREDO,AV 25 QDA 34 LOTE 01 SN,PALMAS,063-99941-2441,-10.229488,-48.461246
CERVEJARIA CURRAL,QUADRA 19,PORTO NACIONAL,063-99234-3171,-10.18892,-48.43856
BAR DO NEGUIM,LOTEAMENTO LACUNA III QDR 69 CS 2 AV S10,PORTO NACIONAL,063-99952-9638,-10.20456,-48.472081
DISTRIBUIDORA J N,11 AV AVENIDA A QDA 26 N 16 LT 16,PORTO NACIONAL,063-99262-9627,-10.23057,-48.450907
MINI BOX MEIA NOIT01,QV 516 QDA 37 LT 40 SL 61,PORTO NACIONAL,063-99127-8218,-10.225808,-48.449683
R1 MARINE LTDA,ESTACIA VINCINAL QD AREA 09 LT09,PORTO NACIONAL,063-99932-9000,-10.18367,-48.43767
ESPETINHO DO ENOQUE,A QUADRA 26 LOTE 69,PORTO NACIONAL,063-98144-9005,-10.202851,-48.467936
MINI BOX PONTO CERTO,19 AVENIDA 08 JARDIM DO PORTO,PORTO NACIONAL,091-99993-9364,-10.210002,-48.465701
MERCADINHO CENTRAL01,21 QD 53 LOTE 11,PORTO NACIONAL,063-99940-9354,-10.204166,-48.468887
DIST E CHOP PACHECO,JOAO RIBEIRO LOTE B,PORTO NACIONAL,063-99919-2525,-10.197778,-48.457222
DEPOSITO DE BEB J SI,28 LOTE 08 RESIDENCIAL AGUAS LINDAS,PORTO NACIONAL,063-99974-6301,-10.220278,-48.448612
BAR DA ROSA       01,C8 QUADRA 37 LT 44 JARDIM DO PORTO,PORTO NACIONAL,063-98467-4194,-10.205,-48.45778
ESTRELA SUPERMERCA01,NS 10 QDA 72 LT 09 LAGUNA III,PORTO NACIONAL,063-99987-1997,-10.212088,-48.467674
MERCADO OLIVEIRA,39 SN LT 16 PARK DOS BURITIS,PORTO NACIONAL,063-99959-5501,-10.225277,-48.446309
ANIMA GASTRONOMIA,ZELIA GATAI LOT ORLA VILLEQD14LT2,PORTO NACIONAL,063-99989-6924,-10.179099,-48.437643
PEROLA DISTRIBUIDORA,18 NS 14 LT 27 LUZIMANGUES,PORTO NACIONAL,063-98450-2602,-10.219482,-48.450935
ESTILO CURRAL,RODOVIA TO 080 QD 68 LT 12 SALA 02 ORLA,PORTO NACIONAL,063-98447-0443,-10.189026,-48.438583
ROTA DO CARVAO,3 ORLA OESTE NO LT 21,PORTO NACIONAL,063-99134-2807,-10.201029,-48.455746
TCHE,080 SN LT 09 68,PORTO NACIONAL,063-99285-7957,-10.188538,-48.438063
BAR DO TIO,LUZIMANGUES 2 AV 17 QD 11,PORTO NACIONAL,066-99642-2232,-10.22926,-48.44452
SILVA,PARK S8 N 0 QI 48 LT 9,PORTO NACIONAL,063-99211-5457,-10.202545,-48.466654
TOCA DO ESPETO    01,36 QD 31 JARDIM DO PORTO,PORTO NACIONAL,063-98118-7725,-10.201907,-48.457296
MERC BISPO RODRIGUES,53 SN LT 11 AV 21 SC 2,PORTO NACIONAL,063-99961-8651,-10.207071,-48.468249
THE LOUNGE BISTRO,S8 N0 QD 17 LT 01 JARDIM,PORTO NACIONAL,063-98105-6781,-10.198274,-48.459247
REST VILLA 2,LT 11 SALA 4,PORTO NACIONAL,063-99219-7407,-10.238763,-48.552309
SILVA DISTRIBUIDORA,28 SN AV 17 LT 08,PORTO NACIONAL,063-99974-6301,-10.220245,-48.448695
SUPERMERCADO REAL,LO2 ACNO I CONJ4 LT17,PALMAS,063-98101-2124,-10.180833,-48.340557
CHURR. PORTAL DO SUL,102 NORTE AV TEO SEG CJ1 LT4,PALMAS,063-99287-5647,-10.179444,-48.332222
BAR DOS AMIGOS    01,203 NORTE ALAMEDA 01 LOTE 3,PALMAS,063-98148-2706,-10.176389,-48.33972
VICTORIA PLAZA HOTEL,103 SUL AV JK CONJ 01 LT 11,PALMAS,063-98459-2005,-10.184962,-48.341253
CHAPA QUENTE      01,203 NORTE CONJ B LT 2,PALMAS,063-99217-3318,-10.176389,-48.33972
SUB SEDE MANCHA PALM,103 NORTE ACNO 1 RUA NO 05 CONJ 03 LT22,PALMAS,063-98400-9317,-10.182266,-48.339713
ESPETARIA DO GAUCHO,105 NORTE QI 08 ALAMEDA DOS CAJUEIROS LT,PALMAS,063-98488-1977,-10.178853,-48.34273
REST SABORES DO BRAS,104 NORTE RUA NE 7,PALMAS,063-99979-6536,-10.179878,-48.327503
MINI BOX DIST LM,103 SUL AVENIDA LO 1 LOTE 88 SALA 02,PALMAS,063-99992-2178,-10.188806,-48.341683
HOTEL GIRASSOL PLAZA,101 NORTE RUA NS A CJ 02 LOTE 04,PALMAS,063-98468-9558,-10.178056,-48.335
PIZZARIA HUT PALMAS,107 NORTE AV JK,PALMAS,063-98117-5765,-10.182823,-48.347404
PIMENTAS GRILL    01,103 SUL RUA SO 3,PALMAS,063-99124-1121,-10.186761,-48.339447
REST ECOLOGICO    01,105 SUL AV NS 03,PALMAS,063-98456-9150,-10.187234,-48.347805
RESENHA BAR,103 NORTE AVENIDA NS 1 LOTE 2,PALMAS,063-98121-6166,-10.177663,-48.337444
CITY PALMAS,QD ARNO 12 NS 2 LOTE 01 SALA 01,PALMAS,063-99134-7287,-10.183033,-48.342399
HOTEL 10,104 NORTE AV JK CONJ 1 SL 01,PALMAS,063-99248-4601,-10.177222,-48.335
